City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Barinas,VE,2021-09-24 05:00:04,8.6226,-70.2075,72.77,93,100,1.79
1,Bambous Virieux,MU,2021-09-24 05:00:06,-20.3428,57.7575,75.22,76,83,15.75
2,Evensk,RU,2021-09-24 05:00:09,61.95,159.2333,48.99,64,50,7.61
3,Ancud,CL,2021-09-24 05:00:12,-41.8697,-73.8203,50.43,87,92,4.81
4,Hemnesberget,NO,2021-09-24 05:00:17,66.2333,13.6333,44.71,93,98,3.65
5,Atuona,PF,2021-09-24 05:00:25,-9.8,-139.0333,78.22,74,29,17.31
6,Rikitea,PF,2021-09-24 05:00:27,-23.1203,-134.9692,74.34,77,100,20.58
7,Forssa,FI,2021-09-24 05:00:32,60.8146,23.6215,44.87,93,100,10.98
8,Yerbogachen,RU,2021-09-24 05:00:40,61.2767,108.0108,38.88,94,100,5.17
9,Ponta Do Sol,PT,2021-09-24 05:00:42,32.6667,-17.1,70.43,53,25,3.33
10,Malakal,SS,2021-09-24 05:00:42,9.5334,31.6605,75.29,88,98,3.15
11,Provideniya,RU,2021-09-24 05:00:44,64.3833,-173.3,32.11,86,90,11.18
12,Lorengau,PG,2021-09-24 05:00:45,-2.0226,147.2712,85.08,67,69,10.94
13,Riyadh,SA,2021-09-24 04:59:17,24.6877,46.7219,78.94,17,13,8.61
14,Salalah,OM,2021-09-24 05:00:46,17.0151,54.0924,83.07,75,60,6.53
15,Hermanus,ZA,2021-09-24 05:00:46,-34.4187,19.2345,54.9,87,46,7.27
16,Mayo,US,2021-09-24 05:00:47,38.8876,-76.5119,63.21,89,49,1.01
17,Punta Arenas,CL,2021-09-24 05:00:48,-53.15,-70.9167,43.72,78,100,7.99
18,Kapaa,US,2021-09-24 05:00:48,22.0752,-159.319,79.12,71,75,4.0
19,Butaritari,KI,2021-09-24 05:00:49,3.0707,172.7902,82.51,77,11,15.77
20,East London,ZA,2021-09-24 05:00:50,-33.0153,27.9116,63.39,61,83,11.74
21,Bowen,AU,2021-09-24 05:00:50,-20.0167,148.2333,73.49,61,6,15.3
22,Kulykiv,UA,2021-09-24 05:00:51,50.3142,24.8176,53.67,85,100,21.3
23,Albany,US,2021-09-24 05:00:01,42.6001,-73.9662,66.78,93,100,7.81
24,Vila Velha,BR,2021-09-24 05:00:52,-20.3297,-40.2925,66.36,72,92,5.12
25,Bonthe,SL,2021-09-24 05:00:53,7.5264,-12.505,76.55,88,93,5.32
26,Krasnoselkup,RU,2021-09-24 05:00:53,65.7,82.4667,37.98,65,52,16.04
27,Avarua,CK,2021-09-24 05:00:54,-21.2078,-159.775,73.45,64,20,3.44
28,Clyde River,CA,2021-09-24 05:00:55,70.4692,-68.5914,26.87,73,70,6.91
29,Busselton,AU,2021-09-24 05:00:55,-33.65,115.3333,64.09,43,1,7.96
30,Black Diamond,US,2021-09-24 05:00:56,47.3087,-122.0032,58.96,87,16,2.93
31,Mar Del Plata,AR,2021-09-24 05:00:24,-38.0023,-57.5575,50.02,92,35,6.31
32,Hilo,US,2021-09-24 05:00:57,19.7297,-155.09,74.8,88,36,6.08
33,Sitka,US,2021-09-24 05:00:57,57.0531,-135.33,57.09,88,90,18.41
34,Codrington,AU,2021-09-24 05:00:58,-38.2667,141.9667,52.84,67,70,24.25
35,Qaanaaq,GL,2021-09-24 05:00:59,77.484,-69.3632,17.1,62,100,5.55
